[STDOUT] WARN StatusConsoleListener The use of package scanning to locate plugins is deprecated and will be removed in a future release
[STDOUT] WARN StatusConsoleListener The use of package scanning to locate plugins is deprecated and will be removed in a future release
[STDOUT] WARN StatusConsoleListener The use of package scanning to locate plugins is deprecated and will be removed in a future release
[STDOUT] WARN StatusConsoleListener The use of package scanning to locate plugins is deprecated and will be removed in a future release
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "carpetscore-neoforge-1.21.1-1.0.10.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "carryon-neoforge-1.21.1-2.2.4.4.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "cc-tweaked-1.21.1-forge-1.117.1.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "charginggadgets-1.14.1.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "charmofundying-neoforge-9.1.0+1.21.1.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "chat_heads-0.15.1-neoforge-1.21.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "chefsdelight-1.0.5-neoforge-1.21.1.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:34] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "chipped-neoforge-1.21.1-4.0.2.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:34] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "chunkactivitytracker-neoforge-1.0.1-1.21.1.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:34] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "Chunky-NeoForge-1.4.23.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
